Name,Website,Email,Phone,Industries,Goods,"City, Country",Address,Description
Banco Português de Investimento,www.bancobpi.pt,,,Financial services,"Retail and investment banking, insurance, asset management, private equity","Porto, Portugal",,
Banco Santander,www.santander.com,,34912890000,Financial services,"Retail, corporate, investment and private banking, insurance, asset management, private equity","Madrid,Spain","Santander Group City
Av. de Cantabria s/n
28660 Boadilla del Monte MADRID-SPAIN","Banco Santander SA engages in the provision of banking services for individuals, companies and institutions. It operates through the following business segments: Retail Banking, Global Wholesale Banking, and Asset Management & Insurance. The Retail Banking segment covers all customers banking businesses, including private banking. The Global Wholesale Banking segment is engaged in the global corporate banking, investment banking and markets worldwide including all treasuries managed globally, both trading and distribution to customers, as well as equities business. The Asset Management & Insurance segment includes the company's units that design and management of the investment fund, pension and insurance businesses of the various units. The company's operations are carried out through Continental Europe, United Kingdom, and Latin America geographical segments. Banco Santander was founded on March 21, 1857 and is headquartered in Madrid, Spain."
Banco Santander Totta,www.santandertotta.pt,,,Finance and Insurance,Financial Services,"Lisbon, Portugal",,
Bancolombia,www.grupobancolombia.com,,,Financial Services,,"Medellin,Colombia",,"Bancolombia SA provides financial products and services to a diversified individual and corporate customer. It operates through the following segments: Banking Colombia, Banking Panama, Banking El Salvador, Leasing, Trust, Investment Banking, Brokerage, Insurance, Off Shore and All Other. The Banking Colombia segment offers retail and corporate banking products and services to individuals, companies, and national and local governments in Colombia. The Banking Panama segment provides retail and commercial banking products and services to individuals and companies in Panama through the Banistmo operation. The Banking El Salvador segment provides retail and commercial banking products and services to individuals, companies, and national and local governments in El Salvador. The Leasing segment deals with the financial and operational leases, including cross-border and international leasing services to clients in Colombia, Central America, Mexico, and Brazil. The Trust segment gives trust services and asset management to clients in Colombia and Peru. Its products include money market accounts, mutual and pension funds, private equity funds, payment trust, custody services, and corporate trust. The Investment Banking segment engages in corporate and project finance advisory, underwriting, capital markets services, and private equity management. The Brokerage segment includes brokerage, investment advisory, and private banking services to individuals and institutions. The Insurance segment provides insurance services to individuals and companies in Panama. The Off Shore segment offers a complete line of offshore banking services to Colombian and Salvadorian customers. It offers loans to private sector companies, trade financing, lease financing, financing for industrial projects. It also offers cash management products, which include checking accounts, international collections and payments. The All Other segment includes results from the operation of investment vehicles. The company was founded on January 24, 1945 and is headquartered in Medellin, Colombia."
BancorpSouth,www.BancorpSouth.com,,,Financial services,"Wealth Management
Commercial Banking
Online Banking
Retail Banking","Tupelo, Mississippi",,
Bandai Namco Entertainment,www.bandainamco.ent,,,"Video game industry
Anime
Motion pictures"," List of Bandai Namco video games
.hack series
Ace Combat series
Digimon series
Dragon Ball series
Katamari series
Klonoa series
Naruto: Ultimate Ninja series
One Piece series
Pac-Man series
Soul series
Tales series
Tamagotchi series
Tekken series","Shinagawa, Tokyo, Japan",,
Bandai Namco Holdings,www.bandainamco.co.jpen,,,Entertainment,"Toy
Anime
Video game
Amusement park","Shinagawa, Tokyo, Japan",,
Bandini Automobili,www.ilariobandini.it,,,Automobile,Sports cars,"Forlì, Italy",,
Bang & Olufsen,www.bang-olufsen.com,,,,Audiovisual,"Struer, Denmark",,
Bangkok Bank,www.bangkokbank.com,,,Financial Services,,"Bangkok,Thailand",,"Bangkok Bank Public Co. engages in the provision of banking services. It operates through the following business units: Corporate and Investment Banking; Commercial Banking; Business Banking; Consumer Banking; and International Banking. The Corporate and Investment Banking business unit offers financial and advisory services including strategic counsel. The Commercial Banking business unit provides banking services to medium-sized enterprises. The Business Banking business segment offers banking and lending services to small businesses including sole proprietors, and small family-owned companies and partnerships. The Consumer Banking business segment offers internet banking; deposits; remittances and payments; mutual funds; banc assurance; credit cards; and home loans. The International Banking business unit provides banking services such as deposits, lending, remittance, syndicated loans, and foreign exchange through international branches. The company was founded by Chin Sophonpanich on November 20, 1944 and is headquartered in Bangkok, Thailand."
Banif Financial Group,www.grupobanif.pt,,,Financial services,"Retail and investment banking, insurance, asset management, private equity, factoring","Funchal, Portugal",,
Bank Aljazira,www.baj.com.sa,,,Financial Services,,"Jeddah,Saudi Arabia",,"Bank Aljazira engages in the provision of Shariah compliant financial and banking services. It provides personal banking, corporate banking, investment banking, private banking, Fawri money transfer services, and treasury services. The company was founded on October 09, 1976 and is headquartered in Jeddah, Saudi Arabia."
Bank Audi,www.banqueaudi.com,,,Financial Services,,"Beirut,Lebanon",,"Bank Audi SAL engages in providing commercial banking services. It operates through the following segments: Corporate and Commercial Banking, Treasury and Capital Markets, Retail and Personal Banking, and Group Functions and Head Office. The Corporate and Commercial Banking segment offers deposits, trade finance, exchange of foreign currencies, and all commercial banking activities. The Treasury and Capital Markets segment provides transactions in money and capital markets, manages investment and trading transactions, and manages liquidity and market risks. It also offers investment banking and brokerage services. The Retail and Personal Banking segment provides deposits and consumer loans, overdrafts, credit cards, funds transfer facilities, and all retail and private banking activities. The Group Functions and Head Office segment comprises of capital and strategic investments, exceptional profits and losses, and non-banking services like insurance. The company was founded by Nasser Al Sabbah, Raymond W. Audi and Suad H. Al-Homaizi in 1962 and is headquartered in Beirut, Lebanon."
Bank Austria,www.bankaustria.at,,,Finance and Insurance,"Commercial banking, Investment banking, Private banking, Asset management","Vienna, Austria",,
Bank BPH,www.bph.pl,,, financial institution,,Polish,,
Bank Central Asia,www.bca.co.id,,,Financial Services,,"Jakarta,Indonesia",,"PT Bank Central Asia Tbk engages in the provision of commercial banking and other financial services. The firm operates through the following geographical segments: Sumatera, Java, Kalimantan, East Indonesia, and Overseas Operations. Its banking products and services include deposits account, transaction banking, electronic banking, cash management, credit cards, bancassurance, credit facilities, bank guarantees, export-import facilities, foreign exchange facilities, and investment products. The company was founded on August 10, 1955 and is headquartered in Jakarta, Indonesia."
Bank for Investment and Development of Vietnam,www.bidv.com.vn,nhadautu@bidv.com.vn,,"Banking, Finance, Security","Transaction accounts
Insurance
stock brokerage
Investment bank
Asset-based lending
Consumer finance
Trade
International payments
Foreign exchange","Hoan Kiem, Hanoi, Vietnam","BIDV Tower, 35 Hang Voi, Hoan Kiem District, Hanoi",
Bank Gutmann,www.gutmann.at,,,Banking,,"Vienna, Austria",,
Bank Handlowy,www.citibank.pl,,,bank,,"Warsaw, Poland",,
Bank Hapoalim,www.bankhapoalim.com,,,Financial Services,,"Tel Aviv,Israel",,"Bank Hapoalim BM engages in the provision of private and corporate banking services. It operates through the following segments: Households, Private Banking, Small Business, Commercial, Corporate, Financial Management, and Others and Adjustments. The Households segment provides banking services and financial products to households. The Private Banking segment provides advanced banking services, through various channels, and financial products, including investment advisory services, to private customers of medium to high net worth in Israel and abroad. The Small Business segment provides banking services and financial products to small businesses. The Commercial segment provides banking services to middle-market business customers. The Corporate segment engages in the provision of financial services to large corporations in Israel and abroad. The Financial Management segment involves in management of market and liquidity risks, performed through proactive management. The Others and Adjustments segment includes activity in credit cards under the responsibility of other banks. The company was founded in 1921 and is headquartered in Tel Aviv, Israel."
Bank Jacob Safra Switzerland,www.jsafra.com,,,Banking,Financial Services,"Geneva, Switzerland",,
Bank Leumi,www.leumi.co.il,,,Financial Services,"Credit cards, consumer banking, corporate banking, finance and insurance, investment banking, mortgage loans, private banking, private equity, savings, Securities, asset management, wealth management","Tel Aviv,Israel",,"Bank Leumi Le-Israel engages in the provision of banking and financial services. It operates through the following segments: Households; Small Businesses; Corporate Banking; Commercial Banking; Private Banking; Financial Management and Capital Markets; and Others. The Households segment engages in the provision of banking services to households and private customers. The Small Businesses segment provides banking services to small businesses and local authorities. The Corporate Banking segment provides banking services to households and private customers. The Commercial Banking segment involves baking and financial services to middle market companies. The Private Banking segment includes domestic and global financial services and solutions to private customers with financial asset portfolios. The Financial Management and Capital Market segment provides services to institutional customers and foreign financial institutions. The company was founded on February 27, 1902 and is headquartered in Tel Aviv, Israel."
Bank Mandiri,www.bankmandiri.co.id,,,Financial Services,,"Jakarta,Indonesia",,"PT Bank Mandiri (Persero) Tbk engages in the provision of general banking services. It operates through the following segments: Corporate; Commercial and Business; Micro and Retail; Consumer; Treasury, Financial Institution and Special Assets Management (SAM); Institutional Banking; Head Office; Shariah Subsidiary; Insurance Subsidiary; and Other Than Shariah and Insurance Subsidiaries. The Corporate segment includes loans, deposits, and other transactions by corporate customers. The Commercial and Business segment consists of loans, deposits, and other transactions by commercial and business banking customers. The Micro and Retail segment focuses on products and services for individual customers in micro and retail segments including loans, deposits, payment transactions, and other transactions. The Consumer segment represents consumer financing business such as housing loans, credit cards, and other transactions by consumer customers. The Treasury, Financial Institution and SAM segment undertakes treasury activities such as foreign exchange, money market, fixed income business, international business banking, capital market, Cayman Islands branch operations, non-performing loans and abandoned properties management. The Institutional Banking segment handles deposits and other transactions with government related entities, which are not undertaken by other segments. The Head Office segment manages group's assets and liabilities that are not managed by other segments, act as cost center for providing central shared services to other segments, and absorb costs that are not allocated to other segments. The Shariah Subsidiary segment comprises all transactions done by a Shariah banking subsidiary. The Insurance Subsidiary segment includes all transactions done by a subsidiary which engages in life insurance and general insurance. The Other Than Shariah and Insurance Subsidiaries segment consists all transactions undertaken by subsidiaries engaging in consumer financing, remittances, securities, and banking. The company was founded on October 2, 1998 and is headquartered in Jakarta, Indonesia."
Bank Mellat,www.en.bankmellat.ir,,,Financial services,,"Tehran, Iran",,
Bank Melli Iran,www.bmi.ir,,,State bank,,"Tehran, Iran",,
Bank Mendes Gans,www.mendesgans.com,,,"Financial services, Cash management","Netting, Cash Pooling, Cash Balancing, Inter-Company Loans, Liquidity Management, Information Management","Amsterdam, Netherlands",,
Bank Muscat,www.bankmuscat.com,,,Financial Services,,"Seeb,Oman",,"bank muscat SAOG engages in the provision of banking and financial services. The company operations its business through the following segments: Corporate Banking, Consumer Banking, Wholesale Banking, Investment Banking, Asset Management, Private Banking, International and Islamic Banking. The Corporate segment consists of financial solutions, project and structured finance, and corporate services. The Consumer segment includes card and expat services, accounts and deposits, loans, mortgages, money transfer, and remittances. The Wholesale segment provides asset management, investment and private banking, and treasury. The company was founded on July 6, 1982 and is headquartered in Ruwi, Oman."
Bank Nederlandse Gemeenten,www.bng.nl,,,Financial services,Financing for (semi-)public organisations,"The Hague, Netherlands",,
Bank Negara Indonesia,www.bni.co.id,,,Financial Services,,"Jakarta,Indonesia",,"PT Bank Negara Indonesia (Persero) Tbk engages in the provision of general banking services. It operates through the following segments: Corporate; Commercial and Small; Consumer and Retail; Treasury and Financial Institution; Head Office; and Subsidiaries. The Corporate segment comprises of loans, deposits, and other transactions and balances with corporate customers. The Commercial and Small segment includes loans, deposits, and other transaction and balances with small to middle size customers. The Consumer and Retail segment consists of consumer loans such as housing loan, credit cards, and other transactions with consumer loans, and including loans retail customers. The Treasury and Financial Institution segment operates treasury activities including foreign exchange, money market, capital market, fixed income, international banking, and overseas branch supervision. The Head Office segment represents centralized services for other segments. The Subsidiaries segment comprises all transactions from subsidiaries in shariah banking, insurance, consumer financing, and securities. The company was founded on July 5, 1946 and is headquartered in Jakarta, Indonesia."
Bank Norwegian,www.banknorwegian.no,,,Bank,"Consumer loan, deposit and credit card","Fornebu, Norway",,
Bank Ochrony Środowiska,www.bosbank.pl,,,Bank ,supporting undertakings and activities contributing to environmental protection,,,
Bank of Åland,www.alandsbanken.ax,,,Financial Services,Banking,"Åland, Finland",,
Bank of Albania,www.bankofalbania.org,,,central bank,,"Tirana, Albania.",,
Bank of Alexandria,www.alexbank.com,,,,,,,
Bank of America,www.bankofamerica.com,,,Financial services,"Consumer banking, corporate banking, finance and insurance, investment banking, mortgage loans, private banking, private equity, wealth management, credit cards,","Charlotte, United States",,"Bank of America operates as a bank holding and financial holding company. It operates through the following segments: Consumer Banking, Global Wealth & Investment Management, Global Banking, Global Markets, and Legacy Assets & Servicing. The Consumer Banking segment offers credit, banking and investment products and services to consumers and small businesses. The Global Wealth & Investment Management provides client experience through a network of financial advisors focused on to meet their needs through a full set of investment management, brokerage, banking, and retirement products. The Global Banking segment deals with lending-related products and services, integrated working capital management and treasury solutions to clients, and underwriting and advisory services. The Global Markets segment includes sales and trading services, as well as research, to institutional clients across fixed-income, credit, currency, commodity, and equity businesses. The Legacy Assets & Servicing segment concerns mortgage servicing activities related to residential first mortgage and home equity loans serviced for others and loans held by the corporation. The company was founded by Amadeo Peter Giannini in 1904 is headquartered in Charlotte, NC."
Bank of Bahrain and Kuwait,www.bbkonline.com,,,"Banking
Financial services
Investment services","Finance and insurance
Consumer Banking
Corporate Banking
Investment Banking
Investment Management
Global Wealth Management
Private Equity
Mortgages
Credit Cards","Manama, Bahrain",,
Bank of Baroda,www.bankofbaroda.com,,,Financial Services,,"Baroda,India",,"Bank of Baroda engages in the provision of commercial banking services. It offers deposits, commercial and institutional credit, project finance, treasury, forex, investment and risk management and other related financial services. It operates through the following segments: Treasury, Corporate/Wholesale Banking, Retail Banking and Other Banking Operations. The Treasury segment engages in bank's domestic treasury operations and covers activities in various markets, which include foreign exchange, interest rates, fixed income, derivatives, equity and other alternative asset classes. The Corporate/Wholesale Banking segment offers an array of loan products and services, which include term, short-term and demand loans, working capital facilities, trade finance products, bridge, syndicated, infrastructure and foreign currency loans, loan against future rent receivables and many more to its large and mid corporate clients depending upon their needs. The Retail Banking segment products include home, auto, education, traders and mortgage loans. The Other Banking Operations segment includes other banking operations and nonbanking operations. The company was founded by Sayajirao Gaekwad III on July 20, 1908 and is headquartered in Baroda, India."
Bank of Beijing,www.bankofbeijing.com.cn,,,Financial Services,,"Beijing,China",,"Bank of Beijing Co., engages in the provision of banking and financial services. It operates through the following segments: Corporate Banking Business, Retail Banking Business, Treasury Business, and Other Business. The Corporate Banking Business provides banking services for corporate customers such as deposit taking, loan lending, trade finance, agency service, entrusting services and credit assurance. The Retail Banking Business provides banking services for individual customers such as savings, investment saving, entrusting, bank cards, credit and individual assets management, settlement, agenct and credit assurance. The Treasury Business includes the trading of derivatives from interest rates and foreign exchanges, money market trading, securities investment, as well as assets and liabilities management. The Other Business includes segments covers other services not handled by the other segments. The company was founded on December 8, 1995 and is headquartered in Beijing, China."
Bank of Beirut,www.bankofbeirut.com,,,"Banking
Financial services
Bancassurance","Credit cards, consumer banking, corporate banking, investment banking, mortgage loans, private banking, wealth management","Beirut, Lebanon",,
Bank of China,www.boc.cn,,,Financial services,"Credit cards, consumer banking, corporate banking, finance and insurance, investment banking, mortgage loans, private banking, private equity, savings, Securities, asset management, wealth management","Beijing, China",,"Bank of China engages in the provision of banking and related financial services such as commercial and investment banking, and insurance and investment services. The company operates its business through the following segments: Corporate Banking, Personal Banking, Treasury Operations, Investment Banking, Insurance, and Others. The Corporate Banking segment offers services to corporate customers, government authorities, and financial institutions such as current accounts, deposits, overdrafts, loans, custody, trade related products and other credit facilities, foreign currency, and derivative products. The Personal Banking segment provides services to retail customers such as current accounts, savings, deposits, investment savings products, credit and debit cards, consumer loans, and mortgages. The Treasury Operations segment deals in foreign exchange transactions, customer-based interest rate and foreign exchange derivative transactions, money market transactions, proprietary trading, and asset and liability management. The Investment Banking segment includes debt and equity underwriting and financial advisory, sales and trading of securities, stock brokerage, investment research and asset management services, and private equity investment services. The Insurance segment specializes in the underwriting of general and life insurance business and insurance agency services. The Others segment comprises investment holding and other miscellaneous activities. Bank of China was founded on February 05, 1912 and is headquartered in Beijing, China."
Bank of Chongqing,www.cqcbank.com,,,Financial Services,,"Chongqing,China",,"The Bank of Chongqing Co. provides commercial banking services. It operates through four segments: Corporate Banking, Retail Banking, Treasury and Unallocated. The Corporate Banking segment provides corporate customers with financial products and services including deposits and loans. The Retail Banking segment provides individual customers with financial products and services including deposits and loans. The Treasury segment offers inter-bank lending and borrowing, bonds investment, re-purchasing and foreign currency transactions. The Unallocated segment performs the businesses not included in the above segments. The company was founded on September 27, 1996 and is headquartered in Chongqing, China."
Bank of Communications,www.bankcomm.com,,,Financial Services,,"Shanghai,China",,"Bank of Communications Co., engages in the provision of banking and related financial services. The company's business scope includes commercial banking, securities services, trust services, financial leasing, fund management, insurance and offshore financial services. It operates through four business segments: Corporate Banking, Retail Banking, Treasury, and Other. The Corporate Banking segment includes corporate loans, bills, trade finance, corporate deposits, and remittances. The Retail Banking business segment consists of retail loans, retail deposits, credit card, and remittances. The Treasury segment provides services, such as money market placements and takings, investment in securities, and selling securities subject to linked repurchase agreements. The Other segment comprises items which cannot be categorized in all other segments. The company also operates through various geographical segments: Northern China, North Eastern China, Eastern China, Central & Southern China, and Western China. Bank of Communications was founded in 1908 and is headquartered in Shanghai, China."
Bank of Cyprus,www.bankofcyprus.com,,,"Banking, Financial services","Retail and business banking, Credit cards, mortgage loans, corporate banking, factoring, insurance, brokerage, private banking, wealth management, Investment management, investment banking.","Strovolos, Nicosia, Cyprus",,
Bank of East Asia,www.hkbea.com,,,Financial Services,,"Hong Kong, China",,"Bank of East Asia engages in the provision of banking and related financial services, and business, corporate and investor services. The company operates its business through nine segments: Personal Banking, Corporate Banking, Treasury Markets, Wealth Management, Financial Institutions, Other Hong Kong Banking Operations, China Operations, Overseas Operations, Corporate Services, and Other Businesses. The Personal Banking segment includes branch operations, personal internet banking, consumer finance, and property loans and credit card business. The Corporate Banking segment includes corporate lending and loan syndication, asset based lending, commercial lending, and securities lending in Hong Kong. The Treasury Markets segment includes treasury operations and securities dealing. The Wealth Management segment includes private banking business and related assets. The Financial Institutions segment includes trade financing activities with correspondent banks. The Other Hong Kong Banking Operations segment includes insurance business, trust business, securities & futures broking, money lender activities and corporate financial advisory in Hong Kong. The China Operations segment includes the back office unit for China operations in Hong Kong, all branches and subsidiaries in China, except those subsidiaries carrying out corporate services, data processing, and other back office operations and associates operated in China. The Overseas Operations segment includes the back office unit for overseas operations in Hong Kong, overseas branches and subsidiaries, except those subsidiaries carrying out corporate services, and associates operated in overseas. The Corporate Services segment includes company secretarial services, share registration and business services, and offshore corporate and trust services. The Other Businesses segment includes insurance business, property-related business, supporting units of Hong Kong operations, investment properties, bank premises, and the net results of associates and other subsidiaries. The company was founded in 1918 and is headquartered in Hong Kong."
Bank of Georgia,www.bog.ge,,,"Banking
Financial Services","inance and insurance
Consumer Banking
Corporate Banking
P&C insurance
Leasing
Trade Finance
Wealth Management
investment management
Mortgages
Card Processing Service","Tbilisi, Georgia",,
Bank of Greece,www.bankofgreece.gr,,,Financial Services,,"Athens,Greece",,"Bank of Greece SA engages in the provision of banking and financial services. Its Euro system-related tasks include formulating monetary policy, managing foreign exchange and reserve assets, issuance of banknotes and coins, overseeing payment and settlement systems, monitoring financial stability, and collecting statistical data. It also supervises credit institutions, insurance and reinsurance firms; manages and operates payment and securities settlement systems; holds and manages the country's official reserve assets such as foreign exchange and gold reserves; acts as treasurer and fiscal agent of the government; compiles and publishes monetary and credit aggregates; and monitors and analyses the economic conjuncture and monetary policy.The company was founded on October 27, 1927 and is headquartered in Athens, Greece."
Bank of Greenland,www.banken.gl,,, commercial bank,Banking,"Nuuk, Greenland",,
Bank of Guyana,www.bankofguyana.org.gy,,,,,,,
Bank of India,www.bankofindia.com,,,Financial Services,,"Mumbai,India",,"Bank of India is engaged in providing commercial and retail banking services. It offers a range of deposit schemes, including saving bank accounts, current deposits, term deposits, and tax saving deposits; and deposit schemes for non resident Indians. The company also provides personal loans, agricultural and priority sector loans. It also offers credit and debit cards and online services. It operates through three segments: Treasury Operations, Wholesale Retail Banking and Retail Banking. The treasury segment provides Government and other Securities, Money Market Operations and Forex Operations. The Wholesale Banking segment provides all advances which are not included under Retail Banking. The Retail Banking segment provides Exposure the maximum aggregate exposure up to 5 Crores. The total annual turnover is less than 50 Crores. Bank of India was founded on September 7, 1906 and is headquartered in Mumbai, India."
Bank of Ireland,www.bankofireland.com,,,Financial Services,Banking & Insurance products,"Dublin,Ireland",,"Bank of Ireland provides banking and financial services. It operates through five segments: Retail Ireland, Bank of Ireland Life, Retail UK, Corporate & Treasury and Group Centre. The Retail Ireland segment offers a comprehensive range of banking products and related financial services to the personal and business markets including deposits, mortgages, consumer and business lending, credit cards, current accounts, money transmission services, commercial finance, asset finance and general insurance. It serves customers through a distribution network of branches, central support teams, ATMs and through direct channels. The Bank of Ireland Life segment includes the wholly owned subsidiary, New Ireland Assurance Co., through which the group offers a wide range of pension and life products, including life assurance, life protection, pensions and investment products to the Irish market. The Retail UK segment comprises consumer and business banking via a branch network in Northern Ireland, its UK residential mortgage business and the business partnerships with the UK Post Office. The Corporate & Treasury segment comprises the group's corporate banking and global markets activities across the Republic of Ireland, UK and international jurisdictions. The Group Centre segment is responsible for delivering services to each division and includes group manufacturing, group finance, group credit and market risk, group governance risk and group human resources. Bank of Ireland was founded in 1783 and is headquartered in Dublin, Ireland."
Bank of Jamaica,www.boj.org.jm,,,,,"Kingston, Jamaica",,
Bank of Jinzhou,www.jinzhoubank.com,webmaster@jinzhoubank.com,,Financial Services,,"Jinzhou,China","No. 68 Science and Technology Road,Songshan District,Jinzhou,Liaoning Province","Bank of Jinzhou Co., provides personal banking products and services. It offers savings products; and loans, personal travel, personal improvement, passenger taxi, fixed asset, personal deposits pledged, laid-off workers small, rent, merchant guaranteed, individual customers credit, personal car, women''s employment and entrepreneurship, commercial mortgage, guarantee corporation guaranteed, merchant credit, and personal housing loans. The company was founded in 1998 and is headquartered in Jinzhou, China."
Bank of Kyoto,www.kyotobank.co.jp,,,Financial Services,,"Kyoto,Japan",,"The Bank of Kyoto, engages in the provision of financial services. It operates through the Banking Business and Others segments. The Banking Business segment includes deposits and loans services, trading securities, securities investment, and domestic and foreign exchange services. The Others segment includes credit guarantee, lease, and credit card businesses. The company was founded on October 1, 1941 and is headquartered in Kyoto, Japan"
Bank of Latvia,www.bank.lv,,,central bank,economic functions ,"Riga, Latvia",,
Bank of Montreal,www.bmo.com,,,Major Banks,,"Montréal,Canada",,"Bank of Montreal provides banking and financial services to individuals and institutions. It operates through three groups: Personal and Commercial Banking, Wealth Management and BMO Capital Markets. The Personal and Commercial Banking is comprised of Personal and Commercial Banking Canada and Personal and Commercial Banking U.S., which provides financial solutions for everyday banking, financing, investing, credit cards and creditor insurance, as well as a variety of commercial products and financial advisory services to individuals, small and mid-sized business customers. The Wealth Management offers wealth management products and solutions including insurance products. The BMO Capital Markets group provides equity and debt underwriting, corporate lending and project financing, mergers and acquisitions advisory services, merchant banking, securitization, treasury and market risk management, foreign exchange, derivatives, debt and equity research and institutional sales and trading. Bank of Montreal was founded by Robert Armour, John C. Bush, Austin Cuvillier, George Garden, Horatio Gates, James Leslie, George Moffatt, John Richardson and Thomas A. Turner on June 23, 1817 and is headquartered in Montreal, Canada."
Bank of Nagoya,www.meigin.com,,,Financial Services,,"Nagoya,Japan",,"The Bank of Nagoya, engages in commercial banking services. It operates through the following business segments: Banking, Leasing, Credit Card, and Others. The Banking segment encompasses deposits and loans; domestic and foreign exchange transactions; securities investments; trading of marketable securities; and underwriting and registration of corporate bonds. The Leasing segment involves with comprehensive finance leasing business. The Credit Card segment deals with credit card and guarantee operations. The Others segment includes cash organization, examination, real estate collateral inquiries, and evaluation activities. The company was founded on February 24, 1949 and is headquartered in Nagoya, Japan."
Bank of Nanjing,www.njcb.com.cn,,,Financial Services,,"Nanjing,China",,"Bank of Nanjing Co. engages in financial products. Its product and service for enterprises and financial institutions clienteles include account service, cash management, credit facilities, domestic and international settlement, internet banking, trade service, working capital loans, project loans, bonds underwriting, loan syndication, structured financing, foreign exchange and interest rate hedging, and bonds underwriting; while for individual customers include debit cards, home loans, consumer loans, credit cards, wealth management products and internet banking. The business scope of the Company covers receiving deposit from the public, granting short-term, mid-term and long-term loans, domestic and international settlement, bill acceptance and discount, issuing financial bonds, agent issuing, repayment and underwriting governmental bonds, selling and purchasing governmental and financial bonds, inter-bank lending and borrowings, selling and purchasing foreign exchange for itself or on behalf of customers, bank cards, credit card services and guarantee, agent fund collection and payment, agent insurance, safe box, and other businesses approved by China Banking Regulatory Commission. The company was founded on February 6, 1996 and is headquartered in Nanjing, China."
Bank of New York Mellon,www.bnymellon.com,,,Major Banks,,"New York, New York,United States",,"The Bank of New York Mellon operates as a bank holding company, which engages in global financial services. It provides financial services for institutions, corporations and high-net-worth individuals, offering investment management and investment services through a worldwide client-focused team. The company operates through three segments: Investment Management, Investment Services and Other. The Investment Management segment includes the former asset management and wealth management businesses. The Investment Services segment includes the former asset servicing, issuer services and clearing services businesses, as well as the cash management business previously included in the former treasury services business. The Other segment includes credit-related activities previously included in the treasury services business, the lease financing portfolio, corporate treasury activities, including the investment securities portfolio, equity investments in Wing Hang Bank and ConvergEx group, business exits and corporate overhead. The Bank of New York Mellon traces its roots back to Bank of New York which was founded by Alexander Hamilton in 1784. The company was founded on July 1, 2007 and is headquartered in New York, NY."
Bank of Ningbo,www.nbcb.com.cn,,,Financial Services,,"Ningbo,China",,"Bank of Ningbo Co., engages in the provision of commercial banking services. Its services include absorption of deposits, granting loans, discounting of notes, issuance of financial bonds, trading of government bonds, inter-bank lending/borrowing, issuance of bank guarantee, foreign currency deposit, loans and remittance, purchase and sale of foreign currencies, and trading of financial derivatives. The company was founded on April 10, 1997 and is headquartered in Ningbo, China."
Bank of Nova Scotia,www.scotiabank.com,,,Major Banks,,"Toronto,Canada",,"The Bank of Nova Scotia operates as a diversified financial services institution that provides a wide range of financial products and services to retail, commercial and corporate customers. Its businesses are grouped into four segments: Canadian Banking; International Banking; Global Wealth & Insurance; and Global Banking & Markets. The Canadian Banking segment provides a full suite of financial advice and banking solutions to personal and business customers across Canada. The International Banking segment encompasses retail and commercial banking operations in Latin America, the Caribbean and Central America, and Asia regions. The Global Wealth & Insurance segment combines the bank's wealth management and insurance operations, and Global Transaction Banking. The Global Banking & Markets segment provides corporate lending, equity and debt underwriting, and mergers and acquisitions advisory services, as well as capital markets products and services, such as fixed income, derivatives, prime brokerage, securitization, foreign exchange, equity sales, trading and research, energy and agricultural commodities. The bank was founded on March 30, 1832 and is headquartered in Toronto, Canada."
Bank of Qingdao,www.en.qdccb.com,,,Financial Services,,"Qingdao,China",,"Bank of Qingdao Co. offers commercial banking services in China. It offers retail banking solutions, including personal saving and investment products, personal loans, bank cards, and electronic banking services; corporate banking solutions consisting of deposits, loans, clearing services, and bills; and trade finance solutions. The company was founded on November 15, 1996 and is headquartered in Qingdao, China."
Bank of Queensland,www.boq.com.au,,,Financial Services,,"Brisbane,Australia",,"Bank of Queensland provides banking and financial related services. It provides products and services such as personal banking, everyday banking, savings and investment, credit cards, personal loans, home loans, margin lending, insurance, private bank, travel money and wealth management. Bank of Queensland also offers Internet, mobile and east phone banking and consumer credit insurance products. The company operates its business through two segments: Banking and Insurance. The Banking segment offers retail banking, commercial, personal, small business loans, equipment and debtor finance, savings and transaction accounts and treasury. The Insurance segment provides life insurance and income protection insurance services. Bank of Queensland was founded in 1874 and is headquartered in Brisbane, Australia."
Bank of Saint Lucia,www.bankofsaintlucia.com,,,,,,,
Bank of Scotland,www.bankofscotland.co.uk,,,Finance and Insurance,Financial services,"Scotland, United Kingdom",,
Bank of the Republic of Haiti,www.brh.net,,,National Bank of the Republic of Haiti,,"Port-au-Prince, Haiti",,
Bank of Tianjin,www.bank-of-tianjin.com,,,Financial Services,,"Tianjin, China",,"Bank of Tianjin provides banking Services and related products. The company offers personal financial products and services, such as savings, loans, debit cards, Tianjin wealth management, funds, precious metals, insurance, treasury, and convenience; and corporate financial products and services, including SME and trade finance, deposits, intermediate business, settlement, interbank business, and enterprise bonds. . It also provides Internet, online, mobile, and telephone banking services. The company was founded on November6, 1996 and is headquartered in Tianjin, China."
Bank of Valletta,www.bov.com,,," Banking
Financial services"," Retail banking
Commercial banking","Santa Venera, Malta","Cannon Road,
Sta Venera SVR 9030,
Malta",
